index,temp_25,temp_46,humid_25,humid_46
2016-04-15 20:00:00,15.0,11.7,90.0,75.0
2016-04-15 23:00:00,13.8,10.2,95.0,84.0
2016-04-16 02:00:00,11.3,9.0,95.0,85.0
2016-04-16 05:00:00,10.4,7.0,95.0,90.0
2016-04-16 08:00:00,11.7,5.1,93.0,90.0
2016-04-16 11:00:00,13.2,10.1,66.0,64.0
2016-04-16 14:00:00,15.1,14.4,70.0,44.0
2016-04-16 17:00:00,11.7,16.200001,55.0,47.0
2016-04-16 20:00:00,9.6,12.5,66.0,66.0
2016-04-16 23:00:00,8.1,10.3,72.0,88.0
2016-04-17 02:00:00,7.6,8.1,72.0,90.0
2016-04-17 05:00:00,6.7,6.1,85.0,90.0
2016-04-17 08:00:00,11.8,5.3,68.0,85.0
2016-04-17 11:00:00,15.2,10.9,43.0,67.0
2016-04-17 14:00:00,16.0,14.0,47.0,47.0
2016-04-17 17:00:00,12.3,16.1,69.0,37.0
2016-04-17 20:00:00,10.2,15.0,83.0,36.0
2016-04-17 23:00:00,8.1,10.0,88.0,62.0
2016-04-18 02:00:00,6.3,9.1,89.0,79.0
2016-04-18 05:00:00,5.4,8.0,85.0,81.0
2016-04-18 08:00:00,10.1,7.2,67.0,78.0
2016-04-18 11:00:00,14.1,13.9,47.0,56.0
2016-04-18 14:00:00,16.1,18.799999,37.0,33.0
2016-04-18 17:00:00,14.9,19.1,36.0,40.0
2016-04-18 20:00:00,10.7,17.200001,63.0,48.0
2016-04-18 23:00:00,9.3,15.1,79.0,61.0
2016-04-19 02:00:00,8.0,13.2,80.0,74.0
2016-04-19 05:00:00,7.2,12.3,80.0,93.0
2016-04-19 08:00:00,13.1,12.1,67.0,94.0
2016-04-19 11:00:00,17.1,13.1,39.0,89.0
2016-04-19 14:00:00,19.200001,14.3,41.0,84.0
2016-04-19 17:00:00,16.9,16.9,55.0,78.0
2016-04-19 20:00:00,14.6,16.9,64.0,77.0
2016-04-19 23:00:00,12.7,14.3,79.0,83.0
2016-04-20 02:00:00,12.1,13.3,93.0,89.0
2016-04-20 05:00:00,12.0,11.4,94.0,93.0
2016-04-20 08:00:00,13.1,9.4,90.0,94.0
2016-04-20 11:00:00,14.5,14.0,84.0,82.0
2016-04-20 14:00:00,17.299999,18.4,79.0,57.0
2016-04-20 17:00:00,16.9,18.4,80.0,57.0
2016-04-20 20:00:00,14.0,16.299999,85.0,53.0
2016-04-20 23:00:00,13.1,12.2,90.0,81.0
2016-04-21 02:00:00,11.2,9.2,93.0,85.0
2016-04-21 05:00:00,9.4,7.2,94.0,92.0
2016-04-21 08:00:00,14.1,6.9,80.0,88.0
2016-04-21 11:00:00,18.9,12.0,60.0,66.0
2016-04-21 14:00:00,18.9,16.700001,63.0,35.0
2016-04-21 17:00:00,16.700001,18.1,58.0,26.0
2016-04-21 20:00:00,12.2,16.5,85.0,26.0
2016-04-21 23:00:00,9.3,12.1,85.0,56.0
2016-04-22 02:00:00,7.2,9.2,92.0,81.0
2016-04-22 05:00:00,6.9,6.9,93.0,84.0
2016-04-22 08:00:00,11.7,6.1,66.0,83.0
2016-04-22 11:00:00,16.799999,10.8,39.0,55.0
2016-04-22 14:00:00,18.0,19.799999,30.0,25.0
2016-04-22 17:00:00,14.1,20.9,48.0,24.0
2016-04-22 20:00:00,11.0,17.4,65.0,33.0
2016-04-22 23:00:00,8.9,13.1,79.0,53.0
2016-04-23 02:00:00,6.8,10.9,85.0,70.0
2016-04-23 05:00:00,7.1,8.8,77.0,72.0
2016-04-23 08:00:00,12.5,7.8,50.0,75.0
2016-04-23 11:00:00,19.799999,12.6,30.0,54.0
2016-04-23 14:00:00,20.9,20.6,24.0,31.0
2016-04-23 17:00:00,18.799999,22.9,29.0,28.0
2016-04-23 20:00:00,13.8,20.6,56.0,28.0
2016-04-23 23:00:00,11.8,14.9,69.0,41.0
2016-04-24 02:00:00,9.7,12.6,75.0,64.0
2016-04-24 05:00:00,7.8,10.0,80.0,75.0
2016-04-24 08:00:00,15.0,10.7,54.0,61.0
2016-04-24 11:00:00,20.9,17.9,32.0,49.0
2016-04-24 14:00:00,23.1,24.0,29.0,34.0
2016-04-24 17:00:00,19.799999,25.4,22.0,35.0
2016-04-24 20:00:00,14.9,19.799999,37.0,39.0
2016-04-24 23:00:00,11.3,16.6,61.0,62.0
2016-04-25 02:00:00,10.0,15.2,76.0,74.0
2016-04-25 05:00:00,9.0,13.2,76.0,75.0
2016-04-25 08:00:00,16.700001,12.2,45.0,75.0
2016-04-25 11:00:00,23.1,16.0,33.0,58.0
2016-04-25 14:00:00,24.4,20.0,29.0,43.0
2016-04-25 17:00:00,19.9,20.200001,43.0,44.0
2016-04-25 20:00:00,16.6,18.5,58.0,53.0
2016-04-25 23:00:00,15.0,14.5,68.0,62.0
2016-04-26 02:00:00,13.2,12.4,72.0,70.0
2016-04-26 05:00:00,13.7,11.2,68.0,80.0
2016-04-26 08:00:00,15.2,10.2,55.0,89.0
2016-04-26 11:00:00,18.299999,14.9,45.0,57.0
2016-04-26 14:00:00,20.200001,17.700001,48.0,49.0
2016-04-26 17:00:00,18.0,18.1,44.0,41.0
2016-04-26 20:00:00,13.4,17.4,59.0,43.0
2016-04-26 23:00:00,12.4,13.3,68.0,63.0
2016-04-27 02:00:00,11.1,12.2,77.0,78.0
2016-04-27 05:00:00,10.9,9.9,79.0,84.0
2016-04-27 08:00:00,12.8,9.0,59.0,89.0
2016-04-27 11:00:00,16.9,14.9,41.0,59.0
2016-04-27 14:00:00,18.200001,19.0,36.0,39.0
2016-04-27 17:00:00,17.200001,20.1,44.0,37.0
2016-04-27 20:00:00,14.1,18.200001,64.0,36.0
2016-04-27 23:00:00,12.0,13.7,66.0,58.0
2016-04-28 02:00:00,9.7,11.3,85.0,77.0
2016-04-28 05:00:00,9.0,12.0,90.0,69.0
2016-04-28 08:00:00,14.7,12.0,60.0,75.0
2016-04-28 11:00:00,19.0,14.9,40.0,64.0
2016-04-28 14:00:00,20.1,19.1,37.0,57.0
2016-04-28 17:00:00,18.299999,20.4,38.0,56.0
2016-04-28 20:00:00,15.3,18.200001,58.0,49.0
2016-04-28 23:00:00,13.1,16.0,76.0,64.0
2016-04-29 02:00:00,12.0,13.9,72.0,67.0
2016-04-29 05:00:00,11.2,13.1,72.0,68.0
2016-04-29 08:00:00,15.5,13.1,60.0,66.0
2016-04-29 11:00:00,20.0,19.4,58.0,59.0
2016-04-29 14:00:00,20.799999,23.1,58.0,49.0
