,year,day,hour,forecast,temp,hum
600,2018,7,14,25,-7.0,70.0
601,2018,7,14,46,-1.0,70.0
602,2018,7,17,25,-7.0,70.0
603,2018,7,17,46,-1.0,70.0
604,2018,7,20,25,-7.0,65.0
605,2018,7,20,46,-1.0,75.0
606,2018,7,23,25,-4.0,50.0
607,2018,7,23,46,0.0,85.0
608,2018,8,2,25,4.0,30.0
609,2018,8,2,46,0.0,80.0
610,2018,8,5,25,5.0,40.0
611,2018,8,5,46,3.0,50.0
612,2018,8,8,25,1.0,65.0
613,2018,8,8,46,2.0,40.0
614,2018,8,11,25,-1.0,70.0
615,2018,8,11,46,-2.0,40.0
616,2018,8,14,25,-1.0,80.0
617,2018,8,14,46,-4.0,45.0
618,2018,8,17,25,0.0,80.0
619,2018,8,17,46,-5.0,45.0
620,2018,8,20,25,0.0,85.0
621,2018,8,20,46,-6.0,55.0
622,2018,8,23,25,1.0,80.0
623,2018,8,23,46,-7.0,55.0
624,2018,9,2,25,3.0,50.0
625,2018,9,2,46,-4.0,45.0
626,2018,9,5,25,2.0,35.0
627,2018,9,5,46,-2.0,35.0
628,2018,9,8,25,-2.0,40.0
629,2018,9,8,46,-3.0,55.0
630,2018,9,11,25,-4.0,40.0
631,2018,9,11,46,-5.0,55.0
632,2018,9,14,25,-5.0,50.0
633,2018,9,14,46,-6.0,50.0
634,2018,9,17,25,-6.0,50.0
635,2018,9,17,46,-7.0,55.0
636,2018,9,20,25,-6.0,50.0
637,2018,9,20,46,-8.0,55.0
638,2018,9,23,25,-5.0,45.0
639,2018,9,23,46,-9.0,65.0
640,2018,10,2,25,-2.0,40.0
641,2018,10,2,46,-6.0,65.0
642,2018,10,5,25,-3.0,55.0
643,2018,10,5,46,-2.0,55.0
644,2018,10,8,25,-4.0,60.0
645,2018,10,8,46,-2.0,60.0
646,2018,10,11,25,-5.0,55.0
647,2018,10,11,46,-4.0,60.0
648,2018,10,14,25,-7.0,55.0
649,2018,10,14,46,-4.0,65.0
650,2018,10,17,25,-8.0,55.0
651,2018,10,17,46,-5.0,65.0
652,2018,10,20,25,-8.0,60.0
653,2018,10,20,46,-5.0,60.0
654,2018,10,23,25,-6.0,60.0
655,2018,10,23,46,-7.0,65.0
656,2018,11,2,25,-2.0,50.0
657,2018,11,2,46,-5.0,65.0
658,2018,11,5,25,-2.0,60.0
659,2018,11,5,46,3.0,35.0
660,2018,11,8,25,-3.0,60.0
661,2018,11,8,46,5.0,30.0
662,2018,11,11,25,-4.0,65.0
663,2018,11,11,46,2.0,50.0
664,2018,11,14,25,-5.0,65.0
665,2018,11,14,46,1.0,60.0
666,2018,11,17,25,-5.0,55.0
667,2018,11,17,46,1.0,65.0
668,2018,11,20,25,-7.0,60.0
669,2018,11,20,46,1.0,70.0
670,2018,11,23,25,-5.0,65.0
671,2018,11,23,46,3.0,70.0
672,2018,12,2,25,3.0,35.0
673,2018,12,2,46,4.0,70.0
674,2018,12,5,25,5.0,30.0
675,2018,12,5,46,8.0,60.0
676,2018,12,8,25,2.0,50.0
677,2018,12,8,46,7.0,55.0
678,2018,12,11,25,1.0,60.0
679,2018,12,11,46,3.0,60.0
680,2018,12,14,25,1.0,70.0
681,2018,12,14,46,0.0,60.0
682,2018,12,17,25,1.0,70.0
683,2018,12,17,46,-3.0,55.0
684,2018,12,20,25,3.0,65.0
685,2018,12,20,46,-3.0,55.0
686,2018,12,23,25,4.0,70.0
687,2018,12,23,46,-5.0,55.0
688,2018,13,2,25,8.0,60.0
689,2018,13,2,46,-3.0,40.0
690,2018,13,5,25,7.0,55.0
691,2018,13,5,46,0.0,30.0
692,2018,13,8,25,2.0,55.0
693,2018,13,8,46,1.0,35.0
694,2018,13,11,25,-1.0,60.0
695,2018,13,11,46,-1.0,45.0
696,2018,13,14,25,-2.0,55.0
697,2018,13,14,46,-3.0,65.0
698,2018,13,17,25,-3.0,55.0
699,2018,13,17,46,-4.0,65.0
700,2018,13,20,25,-5.0,55.0
701,2018,13,20,46,-5.0,65.0
702,2018,13,23,25,-3.0,45.0
